source_id@collection_memberships.#1@collection_memberships.#2@collection_memberships.#3@collection_memberships.#4@collection_memberships.#5@subscription.#1@subscription.#2@subscription.#3@subscription.#4@subscription.#5@Acronym@Administration@Asset_Classification@ONCO_ATC_Code@ATC_Level3@Black_Box@Company_HQ@Completion_Date@Current_Status@Drug_Description@Drug_Type@DynamicObjectID@ONCO_Full_Indication@Gender@ONCO_Hospital_Status@HTA_Decision_Date.RawValue@HTA_Decision_Date.Value@ICER_QALYs@Intervention@Intervention_Type@Length_Of_Trial@Level_Of_Reimbursement@Licensing_Status@Line_Of_Therapy@NCT_Code@No_Of_Patients@Official_Dosage@ONCO_Approval_Date.RawValue@ONCO_Approval_Date.Value@ONCO_Marketing_Date@ONCO_Orphan_Drug@Breakthrough_Therapy@ONCO_Start_Date@ONCO_Warnings@Other_IDs@ONCO_Parallel_Import@Patent_Expiration@Patient_Description@Patient_Profile@Patient_Profile_Age_Groups@Phase_Of_Trial@Portfolio_Pipeline_Status@ONCO_Regulatory_Submission_Date@Reimbursement_Guidance@Reimbursement_Plan@Results_Efficacy@Results_Safety_and_Adverse_Events@Sponsors@Study_Funded_By@ONCO_Therapeutic_Class@Type_Of_Therapy@API.#1@API.#2@API.#3@API.#4@API.#5@API_KEY@ONCO_Company.#1@ONCO_Company.#2@ONCO_Company.#3@ONCO_Company.#4@ONCO_Company.#5@ONCO_Company_KEY@Country_Clinical_Trial.#1@Country_Clinical_Trial.#2@Country_Clinical_Trial.#3@Country_Clinical_Trial.#4@Country_Clinical_Trial.#5@Country_Clinical_Trial_KEY@Disease_Area.#1@Disease_Area.#2@Disease_Area.#3@Disease_Area.#4@Disease_Area.#5@Disease_Area_KEY@Drug.#1@Drug.#2@Drug.#3@Drug.#4@Drug.#5@Drug_KEY@Drug_Class.#1@Drug_Class.#2@Drug_Class.#3@Drug_Class.#4@Drug_Class.#5@Drug_Class_KEY@Primary_Endpoint.#1@Primary_Endpoint.#2@Primary_Endpoint.#3@Primary_Endpoint.#4@Primary_Endpoint.#5@Secondary_Endpoints.#1@Secondary_Endpoints.#2@Secondary_Endpoints.#3@Secondary_Endpoints.#4@Secondary_Endpoints.#5@Stage_Of_Disease.#1@Stage_Of_Disease.#2@Stage_Of_Disease.#3@Stage_Of_Disease.#4@Stage_Of_Disease.#5@Trial_Design.#1@Trial_Design.#2@Trial_Design.#3@Trial_Design.#4@Trial_Design.#5@Assumption_value@Assumption_unit@ATC_Calculation_attempt@Average_Annual_Cost@Average_Cost_Per_Treatment_Cycle@Average_Duration_of_Use.Value@Average_Duration_of_Use.Unit@Average_Duration_of_Use.Comment@Average_Treatment_Cost.RawValue@Average_Treatment_Cost.Value@Cost_Per_Day@Number_of_Units@ONCO_Exchange_Rate@Factory_Price@Retail_Price@Wholesale_Price@PriceTimestamps.ManufacturerPriceDelta.TimeStamp@PriceTimestamps.ManufacturerPriceDelta.ValueChange@PriceTimestamps.ManufacturerPriceDelta.PercentageChange@PriceTimestamps.WholesalerPriceDelta.TimeStamp@PriceTimestamps.WholesalerPriceDelta.ValueChange@PriceTimestamps.WholesalerPriceDelta.PercentageChange@PriceTimestamps.RetailerPriceDelta.TimeStamp@PriceTimestamps.RetailerPriceDelta.ValueChange@PriceTimestamps.RetailerPriceDelta.PercentageChange@Price_Per_MG@Treatment_Phase_1.Cycle_Duration@Treatment_Phase_1.Cycle_Repetition@Treatment_Phase_1.Dosage_Unit@Treatment_Phase_1.Dosage_Value@Treatment_Phase_1.Treatment_Duration@Treatment_Phase_2.Cycle_Duration@Treatment_Phase_2.Cycle_Repetition@Treatment_Phase_2.Dosage_Unit@Treatment_Phase_2.Dosage_Value@Treatment_Phase_2.Treatment_Duration@Treatment_Phase_3.Cycle_Duration@Treatment_Phase_3.Cycle_Repetition@Treatment_Phase_3.Dosage_Unit@Treatment_Phase_3.Dosage_Value@Treatment_Phase_3.Treatment_Duration@Price_Date@ONCO_Price_per_Unit.RawValue@ONCO_Price_per_Unit.Value@Import_Id@Form@Currency@Active_Ingredients.Original.Active_Ingredient@Active_Ingredients.Original.Input_Language@Active_Ingredients.Original.Active_Ingredient_Translated@Active_Ingredients.Original.Volume@Active_Ingredients.Original.Volume_Unit@Active_Ingredients.Original.Dose@Active_Ingredients.Original.Dose_Unit@Active_Ingredients.Original.Strength@Active_Ingredients.Original.Strength_Unit@Active_Ingredients.Original.Strength_Comment@Active_Ingredients.Original.DDD@Active_Ingredients.Original.DDD_Unit@Active_Ingredients.Original.DDD_Comment@Active_Ingredients.Extracted.Active_Ingredient_Item.#1@Active_Ingredients.Extracted.Active_Ingredient_Item.#2@Active_Ingredients.Extracted.Active_Ingredient_Item.#3@Active_Ingredients.Extracted.Active_Ingredient_Item.#4@Active_Ingredients.Extracted.Active_Ingredient_Item.#5@Active_Ingredients.Extracted.Active_Ingredient_Item_Translated.#1@Active_Ingredients.Extracted.Active_Ingredient_Item_Translated.#2@Active_Ingredients.Extracted.Active_Ingredient_Item_Translated.#3@Active_Ingredients.Extracted.Active_Ingredient_Item_Translated.#4@Active_Ingredients.Extracted.Active_Ingredient_Item_Translated.#5@Active_Ingredients.Extracted.Strength_Item.#1@Active_Ingredients.Extracted.Strength_Item.#2@Active_Ingredients.Extracted.Strength_Item.#3@Active_Ingredients.Extracted.Strength_Item.#4@Active_Ingredients.Extracted.Strength_Item.#5@Active_Ingredients.Extracted.Strength_CALC@Active_Ingredients.Extracted.Strength_unit@Active_Ingredients.Extracted.Strength_value@Active_Ingredients.Extracted.DDD@TimeStamp@geographic_location.#1.row_id@geographic_location.#1.name@geographic_location.#2.row_id@geographic_location.#2.name@geographic_location.#3.row_id@geographic_location.#3.name@geographic_location.#4.row_id@geographic_location.#4.name@geographic_location.#5.row_id@geographic_location.#5.name
14923503@Onco@@@@@@@@@@@The patients receive the IVIG calculated as 1g/kg/bodyweight per cycle (defined as every 21 days) until progression disease is noted. All patients are being followed for a period of 6 months after patient's withdrawal. SOURCE: clinical.trials.gov@@-@-@-@-@@@@@14923503@-@@-@-@@NO REVIEW@@@@-@-@-@NCT00294476@30@-@-@@@-@@7/1/2005@-@-@@-@-@@@II@II@@-@-@RESULTS PENDING@-@@@@MONO@-@@@@@-||||@GAMMACAN@@@@@GAMMACAN||||@Israel@@@@@Israel|||||||||@Melanoma / Skin Cancer@Prostate Cancer@Colorectal Cancer@@@Melanoma / Skin Cancer|Prostate Cancer|Colorectal Cancer|||||||@GCAN-01@@@@@GCAN-01||||@Immunotherapy@@@@@Immunotherapy||||@RECIST@@@@@@@@@@METASTATIC@@@@@NON-RANDOMISED@OPEN-LABEL@UNCONTROLLED@SINGLE-ARM@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@-@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
14924833@Onco@@@@@300f1228ntsdm@300f1226ntsdm@300f1224ntsdm@300f1230ntsdm@300f1223ntsdm@@-@@-@-@-@NEW YORK, NEW YORK@@@@@14924833@-@@-@-@@NO REVIEW@@@@-@Macrochem acquired Virium. SOURCE: Virium, 28 April 2008@-@-@-@-@-@@@-@@@-@-@@-@-@@@-@II@@-@-@RESULTS PENDING@-@@@@-@-@@@@@-||||@MACROCHEM CORP@VIRIUM PHARMACEUTICAL@@@@MACROCHEM CORP|VIRIUM PHARMACEUTICAL|||@@@@@@|||||||||@Prostate Cancer@@@@@Prostate Cancer|||||||||@VP-101@EL-532@@@@VP-101|EL-532|||@HDAC@@@@@HDAC||||@-@@@@@@@@@@-@@@@@-@@@@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@-@US$@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@244@United States@@@@@@@@
15041413@Onco@@@@@300f1020ntsdm@@@@@@@@L03AA10@L03A@@@@@@@15041413@@@NO@@@NO REVIEW@@@@100%@@@@@@N/A@@@@@@@@No@@@@@@APPROVED@@@SSN@@@@@@@LENOGRASTIM@@@@@LENOGRASTIM||||@CHUGAI PHARMACEUTICALS@@@@@CHUGAI PHARMACEUTICALS||||@@@@@@|||||||||@Supportive Care@Neutropaenia@@@@Supportive Care|Neutropaenia||||||||@GRANOCYTE@@@@@GRANOCYTE||||@Immunotherapy@G-CSF@@@@Immunotherapy|G-CSF|||@@@@@@@@@@@@@@@@@@@@@@@Invalid Dosage Value Phase 1@@@@@@@@@1@1.1229@79.39@131.02@82.96@@@@@@@@@@@@@@@@@@@@@@@@@@6/7/2017@79.39@79.39@28686044@INJECTABLE PREPARATION, 1 ML@EURO@@@@@@@@263@MCG@@@@@@@@@@@@@@@@@@@@@@@@@119@Italy@@@@@@@@
14916500@Onco@@@@@300f1018ntsdm@@@@@@Administered as Five Daily Intravenous Infusions Every 28 Days@@-@-@-@BRENTFORD, UNITED KINGDOM@@@@@14916500@Previously untreated@@-@-@@NO REVIEW@@@@-@Licensed from Ligand@-@NCT00107718@64@-@-@@@-@@11/1/2004@-@SB-485232006@@-@-@@@II@II@@-@-@RESULTS PENDING@-@@@@MONO@IBOCTADEKIN@@@@@IBOCTADEKIN||||@GSK@@@@@GSK||||@@@@@@|||||||||@Melanoma / Skin Cancer@@@@@Melanoma / Skin Cancer|||||||||@SB-485232@@@@@SB-485232||||@Interleukin@@@@@Interleukin||||@RESPONSE RATE@@@@@@@@@@METASTATIC@@@@@OPEN-LABEL@RANDOMISED@UNCONTROLLED@PARALLEL ASSIGNMENT@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@-@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@23@Australia@@@@@@@@
14921643@Onco@@@@@300f1228ntsdm@300f1226ntsdm@300f1224ntsdm@300f1230ntsdm@300f1223ntsdm@@G207 followed by radiation@@-@-@-@-@@@@@14921643@-@@-@-@@NO REVIEW@@@@-@-@-@NCT00157703@18@-@-@@@-@@5/1/2005@-@CT2001@@-@-@@@I@I@@-@-@RESULTS PENDING@-@@@@MONO@-@@@@@-||||@MEDIGENE@@@@@MEDIGENE||||@@@@@@|||||||||@Brain Cancer@Glioblastoma Multiforme@@@@Brain Cancer|Glioblastoma Multiforme||||||||@G-207@@@@@G-207||||@Other@@@@@Other||||@SAFETY@@@@@@@@@@MALIGNANT@@@@@NON-RANDOMISED@OPEN-LABEL@UNCONTROLLED@SINGLE-ARM@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@-@US$@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@244@United States@@@@@@@@
14916720@Onco@@@@@@@@@@@Larotaxel versus 5-FU continuous administration@@-@-@-@PARIS, FRANCE@9/1/2007@@@@14916720@Patients previously treated with Gemzar-containing regiment@@-@-@@NO REVIEW@@@@-@-@SECOND-LINE@NCT00417209@400@-@Submission of regulatory application for larotaxel for second-line treatment of metastatic pancreatic cancer in 2009@@@-@@12/1/2006@-@PAPRIKA@@-@-@@@EFC6596, XRP9881; @III@@-@-@RESULTS PENDING@-@@@@MONO@LAROTAXEL@@@@@LAROTAXEL||||@SANOFI-AVENTIS@@@@@SANOFI-AVENTIS||||@@@@@@|||||||||@Pancreatic Cancer@@@@@Pancreatic Cancer|||||||||@XRP-9881@@@@@XRP-9881||||@Taxane@@@@@Taxane||||@OVERALL SURVIVAL@@@@@@@@@@-@@@@@RANDOMISED@OPEN-LABEL@ACTIVE CONTROL@PARALLEL ASSIGNMENT@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@-@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
14918978@Onco@@@@@300f1228ntsdm@300f1226ntsdm@300f1224ntsdm@300f1230ntsdm@300f1223ntsdm@@N/A@@-@-@-@INDIANAPOLIS, INDIANA@@@@@14918978@Uterine Cancer@@-@-@@NO REVIEW@@@@-@-@-@-@300@-@-@@@-@@12/1/2004@-@N/A@@-@-@@@III@III@@-@-@RESULTS PENDING@-@@@@MONO@ARZOXIFENE@@@@@ARZOXIFENE||||@LILLY@@@@@LILLY||||@@@@@@|||||||||@Endometrial Cancer@@@@@Endometrial Cancer|||||||||@LY-353381@@@@@LY-353381||||@Hormone Antagonist@SERMs@@@@Hormone Antagonist|SERMs|||@N/A@@@@@@@@@@-@@@@@N/A@@@@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@-@US$@@@@@@@@@-@-@@@@@@@@@@@@@@@@@@@@@@@@244@United States@@@@@@@@
14924173@Onco@@@@@300f1228ntsdm@300f1226ntsdm@300f1224ntsdm@300f1230ntsdm@300f1223ntsdm@@-@@-@-@-@-@@@@@14924173@-@@-@-@@NO REVIEW@@@@-@-@-@-@-@-@-@@@-@@@-@-@@-@-@@@-@II@@-@-@RESULTS PENDING@-@@@@-@ATVOGEN@@@@@ATVOGEN||||@HEMISPHERX BIOPHARMA@@@@@HEMISPHERX BIOPHARMA||||@@@@@@|||||||||@Melanoma / Skin Cancer@@@@@Melanoma / Skin Cancer|||||||||@AMPLIGEN@@@@@AMPLIGEN||||@Immunotherapy@Interferon@@@@Immunotherapy|Interferon|||@-@@@@@@@@@@-@@@@@-@@@@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@-@US$@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@244@United States@@@@@@@@
14919051@Onco@@@@@@@@@@@N/A@@-@-@-@PARIS, FRANCE@@@@@14919051@-@@-@-@@NO REVIEW@@@@-@-@FIRST-LINE@-@N/A@-@-@@@-@@@-@N/A@@-@-@@@III@III@@-@-@Trial design still in progress@-@@@@-@-@@@@@-||||@SANOFI-AVENTIS@@@@@SANOFI-AVENTIS||||@@@@@@|||||||||@NSCLC@@@@@NSCLC|||||||||@AVE-8062@AC-7700@@@@AVE-8062|AC-7700|||@Vascular Disrupting Agent@@@@@Vascular Disrupting Agent||||@N/A@@@@@@@@@@METASTATIC@@@@@N/A@@@@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@-@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
16623702@Onco@@@@@@@@@@@@@@@@UNITED STATES@@@@@16623702@Expanded Access to Provide Larotrectinib (LOXO-101) for the Treatment of Cancers With a NTRK Gene Fusion@Both@@@@@Open-label expanded access, capsules or liquid formulation@@@@@@NCT03025360@@@@@@@@@@Larotrectinib (LOXO-101) EAP@@@-  Diagnosis of cancer with a NTRK1, NTRK2, or NTRK3 gene fusion  -  Are unable to participate in an ongoing larotrectinib (LOXO-101) clinical trial  -  Willing and able to provide written, signed informed consent  -  Medically suitable for treatment with@NTRK Gene Fusion@N/A - N/A@N/A@-@@@@@@@@@MONO@LAROTRECTINIB@@@@@LAROTRECTINIB||||@LOXO ONCOLOGY@@@@@LOXO ONCOLOGY||||@@@@@@|||||||||@Solid Tumours@@@@@Solid Tumours|||||||||@LOXO-101@@@@@LOXO-101||||@Other@@@@@Other||||@@@@@@@@@@@@@@@@@@@@@@@Invalid Factory Price@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
14922971@Onco@@@@@@@@@@@-@@-@-@-@SHENZEN, CHINA@@@@@14922971@Primary liver cancer@@-@-@@NO REVIEW@@@@-@-@-@-@300@-@NDA filing expected within 2 years. SOURCE: CMS, 17 January 2008@1/17/2008@@-@@@-@-@@-@-@@@III@III@@-@-@Completion due in Q4 2009. SOURCE: CMS, 17 January 2008@-@@@@-@-@@@@@-||||@CHINA MEDICAL SYSTEMS@@@@@CHINA MEDICAL SYSTEMS||||@China@@@@@China|||||||||@Liver Cancer@@@@@Liver Cancer|||||||||@CMS-024@@@@@CMS-024||||@Other@@@@@Other||||@-@@@@@@@@@@-@@@@@-@@@@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@-@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
